#
# plants.csv - default plant matrix for Botany plugin
#
# format: 5 fields separated by "," - no spaces allowed
# - 1: Biome name
# - 2: Material:Data byte for the thing to be planted
# - 3: Material for the block to be planted ontop of
# - 4: Material:Data byte for the thing to scan for
# - 5: double value for plant density
#
# byte values are required for fields 2 and 4. byte values
# are not allowed in field 3.
#
# empty lines and lines with a # in any location are skipped

BIRCH_FOREST,SAPLING:2,GRASS,LEAVES:2,0.00500
BIRCH_FOREST,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.03000
MESA,CACTUS:0,SAND,CACTUS:0,0.00200
MESA,SAPLING:0,GRASS,LEAVES:0,0.00200
MESA,DEAD_BUSH:0,SAND,DEAD_BUSH:0,0.01000
MESA,DEAD_BUSH:0,STAINED_CLAY,DEAD_BUSH:0,0.01000
MESA,DEAD_BUSH:0,HARD_CLAY,DEAD_BUSH:0,0.01000
MESA,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.01000
DESERT,CACTUS:0,SAND,CACTUS:0,0.00200
DESERT,DEAD_BUSH:0,SAND,DEAD_BUSH:0,0.00200
ROOFED_FOREST,SAPLING:5,GRASS,LEAVES_2:1,0.00600
ROOFED_FOREST,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.01000
SWAMPLAND,SAPLING:0,GRASS,LEAVES:0,0.00100
SWAMPLAND,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.05000
FLOWER_FOREST,DOUBLE_PLANT:1,GRASS,DOUBLE_PLANT:1,0.00200
FLOWER_FOREST,DOUBLE_PLANT:4,GRASS,DOUBLE_PLANT:4,0.00200
FLOWER_FOREST,DOUBLE_PLANT:5,GRASS,DOUBLE_PLANT:5,0.00200
FLOWER_FOREST,SAPLING:0,GRASS,LEAVES:0,0.00200
FLOWER_FOREST,SAPLING:2,GRASS,LEAVES:2,0.00050
FLOWER_FOREST,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.02000
FLOWER_FOREST,RED_ROSE:0,GRASS,RED_ROSE:0,0.01000
FLOWER_FOREST,RED_ROSE:2,GRASS,RED_ROSE:2,0.01000
FLOWER_FOREST,RED_ROSE:3,GRASS,RED_ROSE:3,0.01000
FLOWER_FOREST,RED_ROSE:4,GRASS,RED_ROSE:4,0.01000
FLOWER_FOREST,RED_ROSE:5,GRASS,RED_ROSE:5,0.01000
FLOWER_FOREST,RED_ROSE:6,GRASS,RED_ROSE:6,0.01000
FLOWER_FOREST,RED_ROSE:7,GRASS,RED_ROSE:7,0.01000
FLOWER_FOREST,RED_ROSE:8,GRASS,RED_ROSE:8,0.00200
TAIGA,DOUBLE_PLANT:3,GRASS,DOUBLE_PLANT:3,0.01000
TAIGA,SAPLING:1,GRASS,LEAVES:1,0.00300
TAIGA,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.01000
TAIGA,LONG_GRASS:2,GRASS,LONG_GRASS:2,0.03000
SAVANNA,DOUBLE_PLANT:2,GRASS,DOUBLE_PLANT:2,0.01000
SAVANNA,SAPLING:0,GRASS,LEAVES:0,0.00100
SAVANNA,SAPLING:4,GRASS,LEAVES_2:0,0.00100
SAVANNA,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.04000
ICE_PLAINS,SAPLING:1,GRASS,LEAVES:1,0.00010
ICE_PLAINS,SAPLING:2,GRASS,LEAVES:2,0.00010
ICE_PLAINS,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.03000
FOREST,SAPLING:0,GRASS,LEAVES:0,0.00200
FOREST,SAPLING:2,GRASS,LEAVES:2,0.00100
FOREST,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.03000
EXTREME_HILLS,SAPLING:0,GRASS,LEAVES:0,0.00010
EXTREME_HILLS,SAPLING:1,GRASS,LEAVES:1,0.00010
EXTREME_HILLS,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.02000
JUNGLE,SAPLING:0,GRASS,LEAVES:0,0.05000
JUNGLE,SAPLING:3,GRASS,LEAVES:3,0.05000
JUNGLE,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.02000
JUNGLE,LONG_GRASS:2,GRASS,LONG_GRASS:2,0.01000
PLAINS,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.25000
SUNFLOWER_PLAINS,DOUBLE_PLANT:0,GRASS,DOUBLE_PLANT:0,0.01000
SUNFLOWER_PLAINS,DOUBLE_PLANT:2,GRASS,DOUBLE_PLANT:2,0.01000
SUNFLOWER_PLAINS,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.25000
RIVER,DOUBLE_PLANT:2,GRASS,DOUBLE_PLANT:2,0.00100
RIVER,DOUBLE_PLANT:3,GRASS,DOUBLE_PLANT:3,0.00200
RIVER,LONG_GRASS:1,GRASS,LONG_GRASS:1,0.01000
